geometry,Adres,Plaats,Gebruiksdoel,Objectsoort,FUNCTIE,FUNCTIE_ID,Oppervlakte,HEX,Buurtcode,Verblijfsobject
POINT (52.351466 4.8489791),Heemstedestraat 3/H,Amsterdam,winkelfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,70,4,KA04,0363010000660378
POINT (52.37246 4.8487249),Hoofdweg 401/H,Amsterdam,winkelfunctie,Werkplaats|Winkel/verkoopruimte,Detailhandel,D,124,5,EK02,0363010000672010
POINT (52.373593 4.8487309),Hoofdweg 410,Amsterdam,winkelfunctie,Opslag/magazijn|Showroom,Detailhandel,D,640,8,EF01,0363010012073176
POINT (52.372407 4.84877),Hoofdweg 399/H,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,61,4,EK02,0363010000672002
POINT (52.3778799 4.848703),Tijl Uilenspiegelstraat 12,Amsterdam,bijeenkomstfunctie,Opstal,Zorg,Z,633,8,EF02,0363010000827807
POINT (52.378239 4.848699),Bos en Lommerweg 317/H,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,87,5,EF02,0363010000593459
POINT (52.3787251 4.848737),Bos en Lommerweg 240,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,35,4,EE01,0363010000593364
POINT (52.373986 4.848806),Hondiusstraat 7/H,Amsterdam,gezondheidszorgfunctie,Kantoor,Zorg,Z,296,6,EF01,0363010012073181
POINT (52.3491839 4.8491099),Rietwijkerstraat 35,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,70,4,KA05,0363010001169100
POINT (52.351467 4.849082),Heemstedestraat 1/H,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,48,4,KA04,0363010000660373
POINT (52.374573 4.848802),Mercatorstraat 141/H,Amsterdam,industriefunctie,Productieruimte,Bedrijven,B,310,6,EF01,0363010000742251
POINT (52.3859769 4.8486791),Molenwerf 12,Amsterdam,kantoorfunctie,Kantoor,Kantoren,K,3131,11,EA03,0363010001017693
POINT (52.381727 4.848745),Lucellestraat 49,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,50,4,EE01,0363010000729789
POINT (52.385978 4.8487081),Molenwerf 14,Amsterdam,kantoorfunctie,,Kantoren,K,856,8,EA03,0363010001017694
POINT (52.39332 4.848619),Kabelweg 46B,Amsterdam,industriefunctie,Kantoor,Bedrijven,B,2809,11,EA01,0363010001026745
POINT (52.351737 4.849138),Heemstedestraat 6/H,Amsterdam,gezondheidszorgfunctie,Kantoor|Opslag/magazijn|Werkruimte,Zorg,Z,83,5,KA01,0363010011122738
POINT (52.393113 4.8486369),Kabelweg 46A,Amsterdam,industriefunctie,Entresol|Opslag/magazijn,Bedrijven,B,514,7,EA01,0363010001026744
POINT (52.377676 4.848836),Lanseloetstraat 45,Amsterdam,sportfunctie,,Sport,S,561,7,EF02,0363010012147913
POINT (52.349157 4.8491831),Rietwijkerstraat 33/H,Amsterdam,winkelfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,37,4,KA05,0363010000792449
POINT (52.349903 4.849189),Aalsmeerweg 38/H,Amsterdam,bijeenkomstfunctie,Restaurant,Horeca,H,88,5,KA04,0363010000557540
